Week,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Nelson Agholor,PHI,10,8,33,0,2,27,3.4,6,0.8,4.9,0,,0,0,0,80.4
1,Zach Ertz,PHI,10,5,48,0,1,32,6.4,16,3.2,7.8,0,,2,20,0,63.7
1,Darren Sproles,PHI,7,4,22,0,1,0,0,22,5.5,-0.4,1,4,1,14.3,0,62.8
1,DeAndre Carter,PHI,1,1,10,0,1,6,6,4,4,6,0,,0,0,0,108.3
1,Nick Foles,PHI,1,1,15,0,1,8,8,7,7,8,0,,0,0,0,118.7
1,Dallas Goedert,PHI,3,1,4,0,,1,1,3,3,12.7,0,,1,33.3,1,2.8
1,Mike Wallace,PHI,3,0,0,0,,0,,0,,36.3,0,,0,0,0,39.6
2,Zach Ertz,PHI,13,11,94,0,3,76,6.9,18,1.6,6.2,0,,0,0,0,96.8
2,Nelson Agholor,PHI,12,8,88,1,4,33,4.1,55,6.9,8.3,0,,0,0,0,116
2,Kamar Aiken,PHI,6,5,39,0,1,28,5.6,11,2.2,5.5,0,,0,0,0,93.7
2,Corey Clement,PHI,6,5,55,0,3,-17,-3.4,72,14.4,2.2,1,5,0,0,0,104.9
2,Joshua Perkins,PHI,6,4,57,0,3,46,11.5,11,2.8,9.2,0,,1,16.7,0,97.2
2,Jay Ajayi,PHI,1,1,4,0,0,-5,-5,9,9,-5,1,1,0,0,0,83.3
2,Wendell Smallwood,PHI,1,1,2,0,0,-3,-3,5,5,-3,0,,0,0,0,79.2
2,Shelton Gibson,PHI,2,0,0,0,,0,,0,,26,0,,0,0,0,39.6
3,Dallas Goedert,PHI,7,7,73,1,3,57,8.1,16,2.3,8.1,0,,0,0,0,149.7
3,Zach Ertz,PHI,10,5,73,0,4,50,10,23,4.6,8.4,0,,1,10,1,34.6
3,Nelson Agholor,PHI,5,4,24,0,3,8,2,16,4,8.8,0,,0,0,0,86.7
3,Corey Clement,PHI,4,3,19,0,0,5,1.7,14,4.7,5.8,0,,0,0,0,84.4
3,Wendell Smallwood,PHI,5,3,35,0,1,21,7,14,4.7,4.6,0,,0,0,0,81.2
3,Jordan Matthews,PHI,2,2,21,0,,17,8.5,4,2,8.5,0,,0,0,0,110.4
3,Joshua Perkins,PHI,4,1,10,0,1,5,5,5,5,10,0,,1,25,0,39.6
4,Zach Ertz,PHI,14,10,112,0,6,71,7.1,41,4.1,5.8,0,,0,0,0,94.9
4,Alshon Jeffery,PHI,9,8,105,1,6,79,9.9,26,3.3,10.9,0,,0,0,0,152.3
4,Nelson Agholor,PHI,12,5,22,0,2,-1,-0.2,23,4.6,9.8,0,,2,16.7,0,49.3
4,Jay Ajayi,PHI,4,3,11,0,1,-5,-1.7,16,5.3,1.3,0,,0,0,0,77.1
4,Wendell Smallwood,PHI,5,3,15,0,1,2,0.7,13,4.3,0.6,0,,1,20,0,64.6
4,Dallas Goedert,PHI,2,2,13,0,,4,2,9,4.5,2,0,,0,0,0,93.7
4,Kamar Aiken,PHI,1,1,14,0,1,14,14,0,0,14,0,,0,0,0,118.7
4,Jordan Matthews,PHI,3,1,56,1,1,35,35,21,21,17.7,0,,1,33.3,0,121.5
5,Zach Ertz,PHI,11,10,110,1,7,55,5.5,55,5.5,6.1,0,,0,0,0,138.6
5,Nelson Agholor,PHI,4,4,45,0,2,33,8.3,12,3,8.3,2,2,0,0,0,113.5
5,Wendell Smallwood,PHI,4,3,44,1,2,18,6,26,8.7,5.5,0,,1,25,0,150
5,Dallas Goedert,PHI,2,2,16,0,1,11,5.5,5,2.5,5.5,0,,0,0,0,100
5,Alshon Jeffery,PHI,8,2,39,0,2,19,9.5,20,10,14,0,,0,0,0,47.4
5,Jordan Matthews,PHI,1,1,4,0,,4,4,0,0,4,0,,0,0,0,83.3
5,Shelton Gibson,PHI,1,1,48,0,1,48,48,0,0,48,0,,0,0,0,118.7
5,Jay Ajayi,PHI,1,1,5,0,0,0,0,5,5,0,0,,0,0,0,87.5
6,Alshon Jeffery,PHI,12,8,74,2,6,38,4.8,36,4.5,8.7,0,,1,8.3,0,122.9
6,Zach Ertz,PHI,9,7,43,1,3,43,6.1,0,0,6,0,,0,0,0,123.6
6,Nelson Agholor,PHI,5,3,91,0,2,43,14.3,48,16,11.4,0,,0,0,0,104.2
6,Corey Clement,PHI,3,3,26,0,2,-13,-4.3,39,13,-4.3,0,,0,0,0,102.8
6,Jordan Matthews,PHI,3,2,26,0,2,18,9,8,4,9.7,0,,0,0,0,93.7
6,DeAndre Carter,PHI,1,1,11,0,,1,1,10,10,1,0,,0,0,0,112.5
6,Dallas Goedert,PHI,1,1,7,0,,5,5,2,2,5,0,,0,0,0,95.8
6,Wendell Smallwood,PHI,2,1,0,0,0,-1,-1,1,1,-1.5,0,,0,0,0,56.2
7,Zach Ertz,PHI,11,9,138,0,7,122,13.6,16,1.8,13.8,1,9,0,0,0,118.7
7,Alshon Jeffery,PHI,10,7,88,1,4,69,9.9,19,2.7,12.3,1,7,0,0,0,130.4
7,Nelson Agholor,PHI,7,6,20,0,,-14,-2.3,34,5.7,1.1,0,,0,0,0,79.2
7,Dallas Goedert,PHI,5,4,43,1,2,17,4.3,26,6.5,5.8,0,,0,0,0,142.1
7,Corey Clement,PHI,2,2,16,0,1,-3,-1.5,19,9.5,-1.5,0,,0,0,0,100
7,Wendell Smallwood,PHI,2,2,5,0,0,-9,-4.5,14,7,-4.5,0,,0,0,0,79.2
8,Zach Ertz,PHI,6,4,26,1,2,17,4.3,9,2.3,5.5,0,,0,0,0,115.3
8,Jordan Matthews,PHI,5,4,93,0,4,72,18,21,5.3,16.4,0,,0,0,0,118.7
8,Alshon Jeffery,PHI,5,4,35,0,3,16,4,19,4.8,7,0,,0,0,0,95.8
8,Nelson Agholor,PHI,6,3,49,0,2,18,6,31,10.3,11.7,0,,0,0,0,77.8
8,Wendell Smallwood,PHI,3,2,42,1,2,-11,-5.5,53,26.5,-3,0,,0,0,0,149.3
8,Josh Adams,PHI,1,1,6,0,0,-4,-4,10,10,-4,0,,0,0,0,91.7
8,Carson Wentz,PHI,1,1,4,0,1,-5,-5,9,9,-5,0,,0,0,0,83.3
8,Corey Clement,PHI,1,1,-1,0,,-6,-6,5,5,-6,0,,0,0,0,79.2
8,Dallas Goedert,PHI,1,1,32,1,1,23,23,9,9,23,1,1,0,0,0,158.3
8,Joshua Perkins,PHI,1,0,0,0,,0,,0,,23,0,,0,0,1,0
