Week,Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Jay Ajayi,PHI,15,62,4,19,1.3,43,2.9,3,5
1,Corey Clement,PHI,5,26,1,18,3.6,8,1.6,0,
1,Darren Sproles,PHI,5,10,1,2,0.4,8,1.6,0,
1,Nelson Agholor,PHI,1,16,1,1,1,15,15,0,
1,Nick Foles,PHI,1,-1,0,-1,-1,0,0,0,
2,Jay Ajayi,PHI,7,23,2,21,3,2,0.3,1,7
2,Wendell Smallwood,PHI,7,28,1,20,2.9,8,1.1,0,
2,Corey Clement,PHI,6,30,2,12,2,18,3,0,
2,Nick Foles,PHI,3,8,3,6,2,2,0.7,0,
2,Nelson Agholor,PHI,1,2,0,2,2,0,0,0,
3,Corey Clement,PHI,16,56,4,14,0.9,42,2.6,2,8
3,Wendell Smallwood,PHI,10,56,4,28,2.8,28,2.8,0,
3,Josh Adams,PHI,6,30,1,27,4.5,3,0.5,0,
3,Carson Wentz,PHI,3,10,1,-4,-1.3,14,4.7,1,3
4,Jay Ajayi,PHI,15,70,4,38,2.5,32,2.1,0,
4,Wendell Smallwood,PHI,5,39,2,6,1.2,33,6.6,1,5
4,Carson Wentz,PHI,2,8,0,6,3,2,1,0,
5,Jay Ajayi,PHI,8,29,1,25,3.1,4,0.5,0,
5,Carson Wentz,PHI,5,26,1,24,4.8,2,0.4,0,
5,Wendell Smallwood,PHI,3,27,1,22,7.3,5,1.7,0,
5,Josh Adams,PHI,1,-1,,-1,-1,0,0,0,
6,Wendell Smallwood,PHI,18,51,2,22,1.2,29,1.6,1,18
6,Corey Clement,PHI,11,43,2,26,2.4,17,1.5,0,
6,Carson Wentz,PHI,2,14,1,14,7,0,0,0,
7,Wendell Smallwood,PHI,9,32,3,9,1,23,2.6,2,4.5
7,Corey Clement,PHI,8,6,1,-4,-0.5,10,1.3,0,
7,Josh Adams,PHI,4,17,,3,0.8,14,3.5,0,
7,Carson Wentz,PHI,3,3,2,0,0,3,1,0,
8,Josh Adams,PHI,9,61,3,30,3.3,31,3.4,2,4.5
8,Wendell Smallwood,PHI,8,24,1,16,2,8,1,0,
8,Carson Wentz,PHI,6,28,2,28,4.7,0,0,0,
8,Corey Clement,PHI,4,6,,5,1.3,1,0.3,0,
8,Nelson Agholor,PHI,1,14,1,13,13,1,1,0,
Bye,Jay Ajayi,PHI,,,,,,,,,
Bye,Corey Clement,PHI,,,,,,,,,
Bye,Darren Sproles,PHI,,,,,,,,,
Bye,Nelson Agholor,PHI,,,,,,,,,
Bye,Nick Foles,PHI,,,,,,,,,
Bye,Wendell Smallwood,PHI,,,,,,,,,
Bye,Josh Adams,PHI,,,,,,,,,
Bye,Carson Wentz,PHI,,,,,,,,,
